"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Aug 14 10:51:00 GMT 2022","Sun Aug 14 10:51:10 GMT 2022","10490","firefox","downloadLinkSelect.spec.js","","","","Download link should be selected",""
"passed","Sun Aug 14 10:52:48 GMT 2022","Sun Aug 14 10:52:51 GMT 2022","2858","Google Chrome","Issues/issuesAddingFilter.spec.js","","","","Issues list should have new filter and Feature tracker",""
"passed","Sun Aug 14 10:52:03 GMT 2022","Sun Aug 14 10:52:08 GMT 2022","5392","webkit","Issues/issuesAddingFilter.spec.js","","","","Issues list should have new filter and Feature tracker",""
"passed","Sun Aug 14 10:51:11 GMT 2022","Sun Aug 14 10:51:17 GMT 2022","6234","firefox","Issues/issuesAddingFilter.spec.js","","","","Issues list should have new filter and Feature tracker",""
"passed","Sun Aug 14 10:51:25 GMT 2022","Sun Aug 14 10:51:30 GMT 2022","4728","firefox","search.spec.js","","","","Search should show issues with titles containing ""webdriver""",""
"passed","Sun Aug 14 10:51:17 GMT 2022","Sun Aug 14 10:51:21 GMT 2022","4131","firefox","Issues/issuesFilter.spec.js","","","","Issues list should have Confirmed status",""
"failed","Sun Aug 14 10:51:53 GMT 2022","Sun Aug 14 10:52:02 GMT 2022","9630","webkit","downloadLinkSelect.spec.js","","","","Download link should be selected",""
"passed","Sun Aug 14 10:52:51 GMT 2022","Sun Aug 14 10:52:54 GMT 2022","3585","Google Chrome","Issues/issuesFilter.spec.js","","","","Issues list should have Confirmed status",""
"passed","Sun Aug 14 10:52:54 GMT 2022","Sun Aug 14 10:52:58 GMT 2022","3140","Google Chrome","repositoryDifference.spec.js","","","","Issues list should have Confirmed status",""
"passed","Sun Aug 14 10:52:08 GMT 2022","Sun Aug 14 10:52:13 GMT 2022","4561","webkit","Issues/issuesFilter.spec.js","","","","Issues list should have Confirmed status",""
"passed","Sun Aug 14 10:52:58 GMT 2022","Sun Aug 14 10:53:01 GMT 2022","3493","Google Chrome","search.spec.js","","","","Search should show issues with titles containing ""webdriver""",""
"failed","Sun Aug 14 10:52:39 GMT 2022","Sun Aug 14 10:52:47 GMT 2022","8123","Google Chrome","downloadLinkSelect.spec.js","","","","Download link should be selected",""
"passed","Sun Aug 14 10:52:17 GMT 2022","Sun Aug 14 10:52:22 GMT 2022","4831","webkit","search.spec.js","","","","Search should show issues with titles containing ""webdriver""",""
"passed","Sun Aug 14 10:52:13 GMT 2022","Sun Aug 14 10:52:17 GMT 2022","4227","webkit","repositoryDifference.spec.js","","","","Issues list should have Confirmed status",""
"passed","Sun Aug 14 10:51:21 GMT 2022","Sun Aug 14 10:51:25 GMT 2022","3741","firefox","repositoryDifference.spec.js","","","","Issues list should have Confirmed status",""
